trip_id,arrival_time,departure_time,stop_id,stop_sequence
A69-1@2#445,04:45:00,04:45:00,4349,1
A69-1@2#445,,,4347,2
A69-1@2#445,,,4345,3
A69-1@2#445,,,6053,4
A69-1@2#445,,,4334,5
A69-1@2#445,,,4333,6
A69-1@2#445,,,4328,7
A69-1@2#445,,,4329,8
A69-1@2#445,,,4332,9
A69-1@2#445,,,5906,10
A69-1@2#445,,,4331,11
A69-1@2#445,,,4330,12
A69-1@2#445,,,4327,13
A69-1@2#445,,,4306,14
A69-1@2#445,,,4309,15
A69-1@2#445,,,4297,16
A69-1@2#445,,,6023,17
A69-1@2#445,,,4300,18
A69-1@2#445,,,6404,19
A69-1@2#445,,,4313,20
A69-1@2#445,,,4314,21
A69-1@2#445,,,4293,22
A69-1@2#445,,,4291,23
A69-1@2#445,,,4289,24
A69-1@2#445,,,4288,25
A69-1@2#445,,,4285,26
A69-1@2#445,,,167,27
A69-1@2#445,,,4283,28
A69-1@2#445,,,168,29
A69-1@2#445,,,164,30
A69-1@2#445,,,163,31
A69-1@2#445,,,161,32
A69-1@2#445,,,159,33
A69-1@2#445,,,344,34
A69-1@2#445,,,342,35
A69-1@2#445,,,341,36
A69-1@2#445,,,212,37
A69-1@2#445,,,174,38
A69-1@2#445,,,172,39
A69-1@2#445,,,171,40
A69-1@2#445,,,87,41
A69-1@2#445,,,86,42
A69-1@2#445,,,6034,43
A69-1@2#445,05:15:00,05:15:00,5994,44
A69-1@2#525,05:25:00,05:25:00,4349,1
A69-1@2#525,,,4347,2
A69-1@2#525,,,4345,3
A69-1@2#525,,,6053,4
A69-1@2#525,,,4334,5
A69-1@2#525,,,4333,6
A69-1@2#525,,,4328,7
A69-1@2#525,,,4329,8
A69-1@2#525,,,4332,9
A69-1@2#525,,,5906,10
A69-1@2#525,,,4331,11
A69-1@2#525,,,4330,12
A69-1@2#525,,,4327,13
A69-1@2#525,,,4306,14
A69-1@2#525,,,4309,15
A69-1@2#525,,,4297,16
A69-1@2#525,,,6023,17
A69-1@2#525,,,4300,18
A69-1@2#525,,,6404,19
A69-1@2#525,,,4313,20
A69-1@2#525,,,4314,21
A69-1@2#525,,,4293,22
A69-1@2#525,,,4291,23
A69-1@2#525,,,4289,24
A69-1@2#525,,,4288,25
A69-1@2#525,,,4285,26
A69-1@2#525,,,167,27
A69-1@2#525,,,4283,28
A69-1@2#525,,,168,29
A69-1@2#525,,,164,30
A69-1@2#525,,,163,31
A69-1@2#525,,,161,32
A69-1@2#525,,,159,33
A69-1@2#525,,,344,34
A69-1@2#525,,,342,35
A69-1@2#525,,,341,36
A69-1@2#525,,,212,37
A69-1@2#525,,,174,38
A69-1@2#525,,,172,39
A69-1@2#525,,,171,40
A69-1@2#525,,,87,41
A69-1@2#525,,,86,42
A69-1@2#525,,,6034,43
A69-1@2#525,05:55:00,05:55:00,5994,44
A69-1@2#605,06:05:00,06:05:00,4349,1
A69-1@2#605,,,4347,2
A69-1@2#605,,,4345,3
A69-1@2#605,,,6053,4
A69-1@2#605,,,4334,5
A69-1@2#605,,,4333,6
A69-1@2#605,,,4328,7
A69-1@2#605,,,4329,8
A69-1@2#605,,,4332,9
A69-1@2#605,,,5906,10
A69-1@2#605,,,4331,11
A69-1@2#605,,,4330,12
A69-1@2#605,,,4327,13
A69-1@2#605,,,4306,14
A69-1@2#605,,,4309,15
A69-1@2#605,,,4297,16
A69-1@2#605,,,6023,17
A69-1@2#605,,,4300,18
A69-1@2#605,,,6404,19
A69-1@2#605,,,4313,20
A69-1@2#605,,,4314,21
A69-1@2#605,,,4293,22
A69-1@2#605,,,4291,23
A69-1@2#605,,,4289,24
A69-1@2#605,,,4288,25
A69-1@2#605,,,4285,26
A69-1@2#605,,,167,27
A69-1@2#605,,,4283,28
A69-1@2#605,,,168,29
A69-1@2#605,,,164,30
A69-1@2#605,,,163,31
A69-1@2#605,,,161,32
A69-1@2#605,,,159,33
A69-1@2#605,,,344,34
A69-1@2#605,,,342,35
A69-1@2#605,,,341,36
A69-1@2#605,,,212,37
A69-1@2#605,,,174,38
A69-1@2#605,,,172,39
A69-1@2#605,,,171,40
A69-1@2#605,,,87,41
A69-1@2#605,,,86,42
A69-1@2#605,,,6034,43
A69-1@2#605,06:35:00,06:35:00,5994,44
A69-1@2#635,06:35:00,06:35:00,4349,1
A69-1@2#635,,,4347,2
A69-1@2#635,,,4345,3
A69-1@2#635,,,6053,4
A69-1@2#635,,,4334,5
A69-1@2#635,,,4333,6
A69-1@2#635,,,4328,7
A69-1@2#635,,,4329,8
A69-1@2#635,,,4332,9
A69-1@2#635,,,5906,10
A69-1@2#635,,,4331,11
A69-1@2#635,,,4330,12
A69-1@2#635,,,4327,13
A69-1@2#635,,,4306,14
A69-1@2#635,,,4309,15
A69-1@2#635,,,4297,16
A69-1@2#635,,,6023,17
A69-1@2#635,,,4300,18
A69-1@2#635,,,6404,19
A69-1@2#635,,,4313,20
A69-1@2#635,,,4314,21
A69-1@2#635,,,4293,22
A69-1@2#635,,,4291,23
A69-1@2#635,,,4289,24
A69-1@2#635,,,4288,25
A69-1@2#635,,,4285,26
A69-1@2#635,,,167,27
A69-1@2#635,,,4283,28
